id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
1908	Rasmussen_2018_C8E6	NS31/AML2	19.8007	60.3344	Europe	root	46226	grassland	6.1	563	5.3	2015	Plantago lanceolata	SSU	Illumina	6
1914	Vasar_2021_1HW	WANDA/AML2	72.2061	35.5586	Asia	soil	35026	forest	6.2	503	5.85	2015	NA_	SSU	Illumina	20
1958	Vasar_2021_1HW	WANDA/AML2	103.214	34.7636	Asia	soil	60533	grassland	3.1	436	6.1	2014	NA_	SSU	Illumina	45
1965	Vasar_2021_1HW	WANDA/AML2	17.2964	60.0147	Europe	soil	57250	grassland	6.1	526	4.18	2018	NA_	SSU	Illumina	11
1978	Rasmussen_2018_C8E6	NS31/AML2	19.5941	60.2355	Europe	soil	45683	grassland	6.3	523	7.1	2015	Plantago lanceolata	SSU	Illumina	130
2011	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2742	grassland	7.7	890	6.78	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	36
2029	Miyake_2020_1CI	AMV4.5NF/AMDGR	139.056	35.3386	Asia	root	29734	forest	13.8	1607	NA_	2016	Chamaecyparis obtusa	SSU	IonTorrent	59
2030	Rasmussen_2018_C8E6	NS31/AML2	19.9274	60.3471	Europe	root	70125	grassland	6.2	552	6.8	2015	Plantago lanceolata	SSU	Illumina	2
2074	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2663	grassland	7.7	890	6.78	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	293
2107	Vasar_2021_1HW	WANDA/AML2	23.5672	58.5856	Europe	soil	109745	forest	6.6	586	6.97	2018	NA_	SSU	Illumina	69
2130	Vasar_2021_1HW	WANDA/AML2	32.9808	56.4553	Europe	soil	26467	forest	4.8	686	3.66	2014	NA_	SSU	Illumina	27
2205	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2942	grassland	7.7	890	6.68	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	175
2274	Rasmussen_2018_C8E6	NS31/AML2	20.2683	60.1408	Europe	root	50325	grassland	6.2	548	6.3	2015	Plantago lanceolata	SSU	Illumina	1
2300	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2592	grassland	7.7	890	6.69	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	16
2301	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2615	grassland	7.7	890	6.65	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	15
2310	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2982	grassland	7.7	890	6.78	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	9
2320	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	3383	grassland	7.7	890	6.69	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	40
2331	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2983	grassland	7.7	890	6.79	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	7
2349	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	3027	grassland	7.7	890	6.68	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	98
2351	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2686	grassland	7.7	890	6.65	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	13
2376	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	3270	grassland	7.7	890	6.65	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	10
2383	Vasar_2021_1HW	WANDA/AML2	22.2878	57.6286	Europe	soil	13765	forest	6.8	635	5.08	2014	NA_	SSU	Illumina	29
2386	Vasar_2021_1HW	WANDA/AML2	-122.243	37.8706	North America	soil	30073	shrubland	14.1	670	5.59	2016	NA_	SSU	Illumina	10
2408	Stover_2018_1DI	NS31/AML2	-113.831	49.1145	North America	root	25354	grassland	5.1	638	7.2	2011	Danthonia paryii;Antennaria sp.;Galium boreale;Festuca idahoensis;Selaginella densa;Anemone patens;Erigeron caespitosus;Arenaria capillaris;Koeleria macrantha;Carex stenophylla;Poa pratensis	SSU	454Roche	1
2439	Goldmann_2020_1BF	GlomerWT0/Glomer1536 then NS31/AM1A; GlomerWT0/Glomer1536 then NS31/AM1B	9.46007	48.4587	Europe	soil	2622	grassland	7.7	890	6.78	2011	Plantago lanceolata;Festuca rubra;Helictotrichon pubescens	SSU	454Roche	20
