id	paper_id	primers	longitude	latitude	continent	sample_type	marker_size	Biome	MAT	MAP	pH	year_of_sampling	plants_dominant	target_gene	sequencing_platform	abundances
7805	Dierks_2019_1AU	FLR3/FLR4	-116.165	43.3395	North America	soil	339995	grassland	11.7	277	NA_	2012	Artemisia tridentata	LSU	Illumina	1
7806	Dierks_2019_1AU	FLR3/FLR4	-116.165	43.3395	North America	soil	2552540	grassland	11.7	277	NA_	2012	Artemisia tridentata	LSU	Illumina	1042
7814	Dierks_2019_1AU	FLR3/FLR4	-116.165	43.3395	North America	soil	296022	grassland	11.7	277	NA_	2012	Artemisia tridentata	LSU	Illumina	248
7823	Dierks_2019_1AU	FLR3/FLR4	-116.165	43.3395	North America	soil	2660847	grassland	11.7	277	NA_	2012	Artemisia tridentata	LSU	Illumina	871
7825	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.32131	50.8757	Europe	soil	26079	cropland	10.6	639	7.9	2016	Medicago sativa	LSU	Illumina	1922
7833	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.3176	50.8646	Europe	soil	35738	cropland	10.2	686	7.8	2016	Hordeum vulgare 	LSU	Illumina	18
7842	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.3185	50.8661	Europe	soil	32400	cropland	10.2	686	7.9	2016	Hordeum vulgare 	LSU	Illumina	27
7843	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.32235	50.8758	Europe	soil	37899	cropland	10.6	639	7.8	2016	Medicago sativa	LSU	Illumina	2576
7845	Lekberg_2013_37D2	FLR3/FLR4	-114.022	46.7358	North America	root	34470	anthropogenic	8	439	6.6	2010	Achillaea millefolium;Antennaria sp.;Artemisia;Bromus tectorum;Centaurea maculosa;Ericameria nauseosa;Euphorbia esula;Lupinus sp.;Native bunchgrass;Potentilla recta	LSU	454Roche	6
7846	Lekberg_2013_37D2	FLR3/FLR4	-114.021	46.7008	North America	root	15418	anthropogenic	7.8	460	6.6	2010	Euphorbia esula	LSU	454Roche	81
7847	Lekberg_2013_37D2	FLR3/FLR4	-114.022	46.7009	North America	root	37614	anthropogenic	7.8	460	6.5	2010	Achillaea millefolium;Antennaria sp.;Artemisia;Astragalus sp.;Centaurea maculosa;Delphinium;Euphorbia esula;Lithospermum ruderale;Lupinus sp.;Native bunchgrass;Potentilla recta;Taraxacum officinale;Tragopogon dubius	LSU	454Roche	4
7848	Lekberg_2013_37D2	FLR3/FLR4	-114.022	46.7019	North America	root	12859	anthropogenic	7.8	460	6.7	2010	Centaurea stoebe	LSU	454Roche	692
7852	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31653	50.883	Europe	soil	24492	cropland	10.3	659	7.6	2016	Triticum aestivum 	LSU	Illumina	4
7854	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31557	50.8721	Europe	soil	26628	cropland	10.2	676	7.9	2016	Hordeum vulgare 	LSU	Illumina	17
7855	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31558	50.8714	Europe	soil	22484	cropland	10.2	676	7.8	2016	Hordeum vulgare 	LSU	Illumina	1
7857	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.3163	50.8708	Europe	soil	28111	cropland	10.2	676	7.9	2016	Hordeum vulgare 	LSU	Illumina	3
7866	Bunn_2014_3E43	FLR3/FLR4	-113.989	46.678	North America	root	2754	shrubland	7.3	483	6.5	2011	Achillea millefolium;Antennaria rosea;Antennaria sp;Astragulus inflexus;Collomia leaniaris;Gailardia aristata;Heterotheca villosa;Phacelia linearis	LSU	454Roche	3
7874	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31635	50.873	Europe	soil	29235	cropland	10.2	676	7.9	2016	Medicago sativa	LSU	Illumina	36
7897	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31815	50.8653	Europe	soil	26977	cropland	10.2	686	7.9	2016	Hordeum vulgare 	LSU	Illumina	70
7900	Williams_2017_3634	LR1/FLR2 then FLR3/FLR4	13.38	55.67	Europe	soil	3073	cropland	7.7	738	6.7	2012	Beta vulgaris	LSU	454Roche	18
7902	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.32888	50.8772	Europe	soil	19458	cropland	10.5	662	7.8	2016	Medicago sativa	LSU	Illumina	231
7908	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31925	50.8651	Europe	soil	48894	cropland	10.2	686	7.8	2016	Hordeum vulgare 	LSU	Illumina	2
7909	Lekberg_2013_37D2	FLR3/FLR4	-114.095	46.9981	North America	root	18309	anthropogenic	7.1	542	6.6	2010	Centaurea stoebe	LSU	454Roche	44
7910	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31706	50.8743	Europe	soil	25019	cropland	10.4	660	7.8	2016	Medicago sativa	LSU	Illumina	258
7912	Lekberg_2013_37D2	FLR3/FLR4	-114.002	46.7409	North America	root	8033	anthropogenic	7.4	457	6.6	2010	Centaurea stoebe	LSU	454Roche	69
7920	SenesGuerrero_2016_8D2E	SSUmAf1+2/LSUmAr1 to 4 then LSU-D1f/LSUmBr	-66.0844	-17.166	South America	root	1652	cropland	7.2	1705	5.2	2010	Solanum tuberosum	LSU	454Roche	497
7923	Lekberg_2013_37D2	FLR3/FLR4	-113.982	46.9035	North America	root	44126	anthropogenic	7.9	432	6.5	2010	Euphorbia esula	LSU	454Roche	13
7926	Williams_2017_3634	LR1/FLR2 then FLR3/FLR4	13.45	56.65	Europe	soil	2163	cropland	6.7	992	6.1	2012	Beta vulgaris	LSU	454Roche	139
7928	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.25446	50.8627	Europe	soil	10890	cropland	9.9	743	7.7	2016	Triticum aestivum 	LSU	Illumina	1
7929	Dierks_2019_1AU	FLR3/FLR4	-116.165	43.3395	North America	soil	232561	grassland	11.7	277	NA_	2012	Bromus tectorum	LSU	Illumina	998
7938	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.32811	50.8769	Europe	soil	25163	cropland	10.5	662	7.7	2016	Medicago sativa	LSU	Illumina	90
7942	Bunn_2014_3E43	FLR3/FLR4	-113.987	46.677	North America	root	5362	shrubland	7.3	483	7.1	2011	Achillea millefolium;Astragulus inflexus;Gailardia aristata;Heterotheca villosa;Phacelia linearis	LSU	454Roche	1
7944	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.31767	50.8734	Europe	soil	33315	cropland	10.4	660	7.9	2016	Medicago sativa	LSU	Illumina	103
7946	Kruger_2017_A452	SSUmAf1+2/LSUmAr1 to 4 then 250f/LSUmBr	12.6547	50.2335	Europe	root	5897	woodland	7.2	789	7.94	2013	Calamagrostis epigejos	LSU	454Roche	3
7949	Manoharan_2017_C211	LR1/FLR2 then FLR3/FLR4	13.15	55.74	Europe	soil	2873	grassland	8.1	662	8	2012	NA_	LSU	454Roche	17
7951	Roy_2017_1CT	SSUmAf1+2/LSUmAr1 to 4 then SSUmCf/LSUmBr then LR3/LR2rev	6.32296	50.8751	Europe	soil	19725	cropland	10.6	639	7.9	2016	Medicago sativa	LSU	Illumina	3159
7954	Lekberg_2013_37D2	FLR3/FLR4	-114.025	46.7355	North America	root	18588	anthropogenic	8	439	6.8	2010	Euphorbia esula	LSU	454Roche	31
